Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [px];Y Position [px];Abstand [px];Abstand in x-Richtung [px];Abstand in y-Richtung [px];Strecke [px];Strecke in x-Richtung [px];Strecke in y-Richtung [px];Geschwindigkeit [px/s];Geschwindigkeit in x-Richtung [px/s];Geschwindigkeit in y-Richtung [px/s];Beschleunigung [px/s²];Beschleunigung in x-Richtung [px/s²];Beschleunigung in y-Richtung [px/s²];
794;32,1339;1146;1018;1146;1018;5,39;-2;5;331,15;30;60;132,9;-49,36;123,39;-1557,06;2436,01;-4263,03;
795;32,1744;1144;1023;1144;1023;5,66;4;-4;336,81;34;56;69,8;49,36;-49,36;236,64;-1218,01;1522,51;
797;32,2555;1148;1019;1148;1019;3,61;-2;3;340,42;32;59;88,98;-49,36;74,03;-269,96;3045,02;-2436,01;
798;32,296;1146;1022;1146;1022;3,16;3;-1;343,58;35;58;78,04;74,03;-24,68;797,71;609;1827,01;
799;32,3365;1149;1021;1149;1021;4,47;4;2;348,05;39;60;110,36;98,71;49,36;556,04;-5481,03;-2436,01;
800;32,377;1153;1023;1153;1023;5,39;-5;-2;353,44;34;58;132,9;-123,39;-49,36;-2670,58;3654,02;1218,01;
801;32,4175;1148;1021;1148;1021;2;2;0;355,44;36;58;24,68;24,68;0;176,96;-761,25;152,25;
803;32,4986;1150;1021;1150;1021;3,16;-3;1;358,6;33;59;39,02;-37,02;12,34;-176,96;456,75;-456,75;
805;32,5796;1147;1022;1147;1022;1;0;-1;359,6;33;58;24,68;0;-24,68;1316,84;-609;2436,01;
806;32,6201;1147;1021;1147;1021;3,16;-1;3;362,76;32;61;78,04;-24,68;74,03;-1316,84;1218,01;-1827,01;
807;32,6607;1146;1024;1146;1024;1;1;0;363,76;33;61;24,68;24,68;0;1586,79;-1827,01;1827,01;
808;32,7012;1147;1024;1147;1024;3,61;-2;3;367,37;31;64;88,98;-49,36;74,03;527,75;2436,01;-4263,03;
809;32,7417;1145;1027;1145;1027;4,47;2;-4;371,84;33;60;110,36;49,36;-98,71;-797,71;-609;4263,03;
810;32,7822;1147;1023;1147;1023;3,16;1;3;375;34;63;78,04;24,68;74,03;-890,73;-1624,01;-1624,01;
811;32,8228;1148;1026;1148;1026;5,1;-5;1;380,1;29;64;41,94;-41,13;8,23;32,19;59,21;186,08;
814;32,9443;1143;1027;1143;1027;14,87;-11;10;394,97;18;74;45,86;-33,93;30,85;323,15;-275,95;-361,6;
822;33,2685;1132;1037;1132;1037;12,21;-10;-7;407,17;8;67;150,62;-123,39;-86,37;-6,25;1827,01;2892,77;
824;33,3495;1122;1030;1122;1030;6,08;1;6;413,25;9;73;150,11;24,68;148,07;300,67;-4567,53;-3045,02;
825;33,3901;1123;1036;1123;1036;13,15;-13;2;426,41;-4;75;162,29;-160,41;24,68;-1385,14;2588,27;-203;
827;33,4711;1110;1038;1110;1038;6,08;6;1;432,49;2;76;50,04;49,36;8,23;230,34;-1015,01;135,33;
830;33,5927;1116;1039;1116;1039;3,16;-3;1;435,65;-1;77;78,04;-74,03;24,68;0;0;0;
831;33,6332;1113;1040;1113;1040;0;0;0;0;0;0;0;0;0;0;0;0;
